Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,5921.7,5696.2,6253.4,4871.2,4645.3,5737.2,5923.4,5529.9,5795.2,6187.7
Germany,8629.6,8087.7,7640.9,7644.3,6673.7,7396.4,7819.5,7301.5,7577.3,7431.8
France,7353,7800.8,5289.6,7253.8,6768,7742.8,6677.6,6928.4,6996.7,7201.6
Poland,4972.1,4574.4,4580.2,4877.3,3987.1,4303.5,5234.2,4975.3,5239.4,5280
SlovakRepublic,5464,5509.8,5843.4,4738.6,4779.6,4766.6,5511.3,5609,4975,6123
Hungary,4728.8,5179.6,5365.4,5428.7,5124.4,5294.9,5468,5925.4,4448.1,5642.3
Switzerland,6348.9,5988.2,4370.5,6094,5830.1,5751.4,6218.6,5139.5,5465.7,5139.7
Czechia,6510.4,6355.9,6495.9,5670.5,5389.6,5732.5,6138.9,6321.4,6072.7,6435.1
Netherlands,9169.8,9125.5,7983.2,9093.5,8614.7,9378.1,8556,8018,9393.1,8467
Belgium,9412.9,10015.2,6787.1,8617.4,8492.3,9336.4,8946.3,7788.4,9057.4,8424.7
